# Retired NCBI GeneIDs for taxid 29159, from NCBI gene_history.
# Built by src/mappings/build_crosswalk.py v1.0.0 on 2026-08-27
# Studies analysed against an older annotation report these identifiers; each row
# records the authoritative NCBI replacement. Resolution through this table is
# labelled 'inferred', not 'exact', because it crosses an annotation version.
# 13601 further GeneIDs were discontinued with NO replacement and are
# deliberately absent, so that they stay 'unresolved'.
discontinued_gene_id	current_gene_id	discontinued_symbol	discontinue_date
105317034	105321186	LOC105317034	20200521
105317038	117684277	LOC105317038	20240702
105317039	105340670	LOC105317039	20200521
105317042	105318127	LOC105317042	20200521
105317045	117688064	LOC105317045	20240702
105317046	105347877	LOC105317046	20240702
105317047	105328276	LOC105317047	20200521
105317048	117683055	LOC105317048	20240702
105317049	105318392	LOC105317049	20200521
105317050	105318392	LOC105317050	20200521
105317058	117689844	LOC105317058	20240704
105317062	105317061	LOC105317062	20200521
105317067	105339349	LOC105317067	20200521
105317069	105339346	LOC105317069	20200521
105317070	105339345	LOC105317070	20200521
105317072	117685426	LOC105317072	20240702
105317088	117692971	LOC105317088	20240704
105317089	105345429	LOC105317089	20200521
105317095	105320405	LOC105317095	20200521
105317100	105327218	LOC105317100	20200521
105317103	105317102	LOC105317103	20200521
105317105	105317104	LOC105317105	20200521
105317110	105317922	LOC105317110	20240704
105317129	105345598	LOC105317129	20200521
105317130	105324295	LOC105317130	20200521
105317133	117691133	LOC105317133	20240704
105317140	105338919	LOC105317140	20200521
105317146	105317147	LOC105317146	20200521
105317148	105337969	LOC105317148	20200521
105317149	105337969	LOC105317149	20200521
105317151	105332667	LOC105317151	20200521
105317152	105332667	LOC105317152	20200521
105317175	117689051	LOC105317175	20240702
105317176	117689050	LOC105317176	20240702
105317180	105317181	LOC105317180	20200521
105317182	117689052	LOC105317182	20240702
105317199	105317200	LOC105317199	20200521
105317203	105333953	LOC105317203	20200521
105317240	105317731	LOC105317240	20200521
105317243	105317213	LOC105317243	20200521
105317244	105343828	LOC105317244	20240702
105317246	105327206	LOC105317246	20200521
105317250	105346417	LOC105317250	20200521
105317259	117683802	LOC105317259	20240702
105317267	105347238	LOC105317267	20200521
105317270	105327130	LOC105317270	20240702
105317272	105317288	LOC105317272	20170203
105317273	105341935	LOC105317273	20200521
105317275	105328367	LOC105317275	20200521
105317294	105317296	LOC105317294	20170203
105317297	105317298	LOC105317297	20200521
105317304	105339272	LOC105317304	20200521
105317305	105341533	LOC105317305	20200521
105317312	105317314	LOC105317312	20240702
105317323	105317263	LOC105317323	20200521
105317325	105347421	LOC105317325	20200521
105317331	117682439	LOC105317331	20240704
105317332	105347423	LOC105317332	20200521
105317336	105317337	LOC105317336	20200521
105317351	105317350	LOC105317351	20200521
105317357	105322944	LOC105317357	20200521
105317359	105347683	LOC105317359	20200521
105317367	105317365	LOC105317367	20200521
105317374	105317371	LOC105317374	20200521
105317398	105317404	LOC105317398	20200521
105317405	105322878	LOC105317405	20200521
105317423	105334607	LOC105317423	20200521
105317424	105328709	LOC105317424	20200521
105317427	105346789	LOC105317427	20200521
105317433	105345576	LOC105317433	20200521
105317442	105317441	LOC105317442	20200521
105317446	105345576	LOC105317446	20200521
105317452	105317453	LOC105317452	20200521
105317456	117680405	LOC105317456	20240704
105317458	105346452	LOC105317458	20240702
105317459	109619215	LOC105317459	20200521
105317464	105344449	LOC105317464	20200521
105317474	105317521	LOC105317474	20200521
105317476	105317522	LOC105317476	20170203
105317518	105317529	LOC105317518	20170203
105317519	105317520	LOC105317519	20200521
105317523	105338038	LOC105317523	20200521
105317524	117692791	LOC105317524	20240702
105317525	105327170	LOC105317525	20200521
105317531	105317530	LOC105317531	20200521
105317532	117683930	LOC105317532	20240702
105317537	109617047	LOC105317537	20200521
105317543	117684291	LOC105317543	20240702
105317553	117682840	LOC105317553	20240702
105317559	105317560	LOC105317559	20200521
105317567	117684293	LOC105317567	20240702
105317569	105324296	LOC105317569	20200521
105317602	105317606	LOC105317602	20170203
105317604	105325105	LOC105317604	20240704
105317605	105329201	LOC105317605	20200521
105317607	105336260	LOC105317607	20200521
105317608	105338398	LOC105317608	20200521
105317609	105348367	LOC105317609	20200521
105317621	105320893	LOC105317621	20200521
105317631	105318373	LOC105317631	20200521
105317642	105320645	LOC105317642	20200521
105317643	105320657	LOC105317643	20200521
105317652	105346605	LOC105317652	20200521
105317656	105331880	LOC105317656	20200521
105317668	105317666	LOC105317668	20200521
105317669	105317659	LOC105317669	20200521
105317676	105317406	LOC105317676	20200521
105317682	105317681	LOC105317682	20200521
105317683	105344558	LOC105317683	20200521
105317689	105322975	LOC105317689	20200521
105317694	117683574	LOC105317694	20240704
105317696	117688957	LOC105317696	20240702
105317699	105317674	LOC105317699	20170203
105317703	105322944	LOC105317703	20200521
105317705	105321951	LOC105317705	20200521
105317706	105349224	LOC105317706	20200521
105317712	117687272	LOC105317712	20240704
105317722	117680564	LOC105317722	20240702
105317723	105346790	LOC105317723	20200521
105317725	105317730	LOC105317725	20200521
105317728	105317730	LOC105317728	20200521
105317738	105346177	LOC105317738	20200521
105317742	105317743	LOC105317742	20200521
105317746	117682110	LOC105317746	20240702
105317760	105317761	LOC105317760	20170203
105317762	117682108	LOC105317762	20240702
105317764	105336611	LOC105317764	20200521
105317765	105317817	LOC105317765	20200521
105317766	105317761	LOC105317766	20240702
105317768	105345162	LOC105317768	20200521
105317769	109617676	LOC105317769	20200521
105317770	117682890	LOC105317770	20240702
105317782	105339512	LOC105317782	20240702
105317785	105338548	LOC105317785	20200521
105317786	105317787	LOC105317786	20200521
105317792	105317791	LOC105317792	20200521
105317793	105317791	LOC105317793	20200521
105317800	105317802	LOC105317800	20200521
105317813	105317814	LOC105317813	20170203
105317816	117684220	LOC105317816	20240702
105317824	105320243	LOC105317824	20200521
105317833	105344574	LOC105317833	20200521
105317835	109619798	LOC105317835	20200521
105317838	105324514	LOC105317838	20200521
105317841	105331658	LOC105317841	20200521
105317845	105327933	LOC105317845	20200521
105317860	105326197	LOC105317860	20200521
105317871	105324433	LOC105317871	20200521
105317872	105317886	LOC105317872	20170203
105317873	105319679	LOC105317873	20200521
105317881	105339752	LOC105317881	20200521
105317887	105319344	LOC105317887	20200521
105317895	105332641	LOC105317895	20200521
105317896	105317894	LOC105317896	20200521
105317902	105318823	LOC105317902	20200521
105317903	117684530	LOC105317903	20240704
105317906	105336212	LOC105317906	20240702
105317910	105341957	LOC105317910	20200521
105317918	105323966	LOC105317918	20240702
105317920	105336214	LOC105317920	20240702
105317924	105339863	LOC105317924	20200521
105317925	117686988	LOC105317925	20240704
105317931	105317929	LOC105317931	20170203
105317933	105335534	LOC105317933	20200521
105317942	105331146	LOC105317942	20200521
105317945	105317946	LOC105317945	20170203
105317950	109617338	LOC105317950	20240702
105317963	105347527	LOC105317963	20200521
105317966	105322094	LOC105317966	20200521
105317968	105335333	LOC105317968	20200521
105317969	105317965	LOC105317969	20200521
105317974	105318588	LOC105317974	20200521
105317982	105319256	LOC105317982	20200521
105317989	105317980	LOC105317989	20200521
105318001	117681030	LOC105318001	20240702
105318024	105327679	LOC105318024	20200521
105318063	105318064	LOC105318063	20170203
105318066	105322101	LOC105318066	20240702
105318072	105318084	LOC105318072	20200521
105318075	105326598	LOC105318075	20200521
105318077	117680412	LOC105318077	20240702
105318095	105348705	LOC105318095	20200521
105318096	117688813	LOC105318096	20240702
105318099	105337973	LOC105318099	20200521
105318100	105337973	LOC105318100	20200521
105318103	105325966	LOC105318103	20200521
105318112	105318052	LOC105318112	20170203
105318118	117680576	LOC105318118	20240702
105318119	105343163	LOC105318119	20200521
105318123	105318052	LOC105318123	20170203
105318141	105323043	LOC105318141	20200521
105318142	105334145	LOC105318142	20200521
105318150	105328960	LOC105318150	20200521
105318151	117681103	LOC105318151	20240702
105318154	105319033	LOC105318154	20200521
105318156	105319032	LOC105318156	20200521
105318167	105348750	LOC105318167	20200521
105318170	105318165	LOC105318170	20170203
105318172	105318173	LOC105318172	20240704
105318179	117684721	LOC105318179	20240704
105318184	105318183	LOC105318184	20170203
105318193	105318192	LOC105318193	20170203
105318202	105336080	LOC105318202	20240702
105318213	105318211	LOC105318213	20170203
105318220	105347095	LOC105318220	20200521
105318223	105317886	LOC105318223	20200521
105318224	105317886	LOC105318224	20200521
105318262	105324239	LOC105318262	20200521
105318263	105324239	LOC105318263	20200521
105318267	105318349	LOC105318267	20240702
105318269	105332473	LOC105318269	20200521
105318276	105333234	LOC105318276	20200521
105318280	105346890	LOC105318280	20200521
105318282	109617119	LOC105318282	20200521
