run_accession	mate	url	md5	bytes
SRR11285528	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/028/SRR11285528/SRR11285528_1.fastq.gz	97c2637dfd41ed97c445f47ad2dffcd2	684365076
SRR11285528	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/028/SRR11285528/SRR11285528_2.fastq.gz	e7d7dcb2b85c7d0c1ecc6d602d03a092	737142059
SRR11285529	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/029/SRR11285529/SRR11285529_1.fastq.gz	35204dac21748a93fa667f05ce436b28	696892062
SRR11285529	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/029/SRR11285529/SRR11285529_2.fastq.gz	9574dbec0b8441262b3938b9501a5816	741390294
SRR11285530	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/030/SRR11285530/SRR11285530_1.fastq.gz	9feb7cffcb99a9707add9cc2e6407a98	440933943
SRR11285530	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/030/SRR11285530/SRR11285530_2.fastq.gz	fcd4094908f7110791e53205fd71a006	544830426
SRR11285531	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/031/SRR11285531/SRR11285531_1.fastq.gz	a60beaab38c3f573ef129222ecd887a2	513692427
SRR11285531	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/031/SRR11285531/SRR11285531_2.fastq.gz	ee9d4c0361b9d18e3f6d5cc9a763630a	555480746
SRR11285532	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/032/SRR11285532/SRR11285532_1.fastq.gz	ab3b66772de4cf575b7d2e22a9d631bb	529255162
SRR11285532	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/032/SRR11285532/SRR11285532_2.fastq.gz	be54343bfbd8639117fc60e9477f99b1	573697912
SRR11285533	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/033/SRR11285533/SRR11285533_1.fastq.gz	927a980b841db9e4c7dc56c3e64f14b1	414371242
SRR11285533	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/033/SRR11285533/SRR11285533_2.fastq.gz	dd67d4116425186f118b48db99843556	524482289
SRR11285534	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/034/SRR11285534/SRR11285534_1.fastq.gz	cf7d5f0f0987956e842ff87d2b94c8ac	723992883
SRR11285534	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/034/SRR11285534/SRR11285534_2.fastq.gz	42236e5fccf834af803878059feb7f9f	787508684
