gene_id	log2FoldChange	lfcSE	pvalue	padj
gene-LOC105337972|LOC105337972	6.596036746			0.004769454
gene-LOC105318459|LOC105318459	-2.138031688			0.01802722
gene-LOC105345163|LOC105345163	3.291932523			1.16e-05
gene-LOC117690171|LOC117690171	3.872641902			3.8e-20
gene-LOC105343307|LOC105343307	-2.958536912			1.53e-09
gene-LOC105337752|LOC105337752	-2.09072231			0.004035408
gene-LOC105347738|LOC105347738	-2.095548588			0.010439912
gene-LOC105322236|LOC105322236	-2.688553828			0.01835582
gene-LOC105344330|LOC105344330	-2.170037217			0.009224408
gene-LOC105324460|LOC105324460	2.69772554			0.048669262
gene-LOC105322681|LOC105322681	2.883739116			0.002451814
gene-LOC105347278|LOC105347278	5.758191465			5.84e-64
gene-LOC105335184|LOC105335184	-2.042169281			0.049597118
gene-LOC105318307|LOC105318307	-2.382815659			0.010541664
gene-LOC105320148|LOC105320148	5.7284723			1.06e-20
gene-LOC117681181|LOC117681181	4.445531407			0.008565235
gene-LOC105339894|LOC105339894	-4.595835349			0.046462198
gene-LOC105317679|LOC105317679	2.936598281			2.13e-05
gene-LOC105341596|LOC105341596	2.620732505			7.24e-27
gene-LOC105323607|LOC105323607	-2.1937822			5.69e-06
gene-LOC105340329|LOC105340329	3.322052379			4.67e-48
gene-LOC105323022|LOC105323022	2.420254222			3.46e-23
gene-LOC105334816|LOC105334816	3.427359132			3.58e-13
gene-LOC105337837|LOC105337837	3.7650823			1.16e-05
gene-LOC105335447|LOC105335447	2.564399539			3.95e-07
gene-LOC105330644|LOC105330644	2.709342204			1.23e-09
gene-LOC105338060|LOC105338060	2.198352966			1.49e-07
gene-LOC105336296|LOC105336296	3.205675419			6.08e-33
gene-LOC105343860|LOC105343860	6.027753929			1.67e-38
gene-LOC105348808|LOC105348808	6.274592412			3.71e-38
gene-LOC105335283|LOC105335283	2.034564089			7.2e-05
gene-LOC105320699|LOC105320699	7.51571749			5.2e-26
gene-LOC117685400|LOC117685400	6.895822237			0.000910499
gene-LOC105346880|LOC105346880	3.609149662			3.13e-29
gene-LOC117692727|LOC117692727	2.005630497			0.025390756
gene-LOC105334943|LOC105334943	2.142374942			0.049838113
gene-LOC105349146|LOC105349146	2.155006561			1.52e-06
gene-LOC105329925|LOC105329925	2.061872928			0.007519785
gene-LOC105336634|LOC105336634	-5.887741385			0.03107489
gene-LOC105332627|LOC105332627	-2.749276608			0.046144717
gene-LOC105326936|LOC105326936	2.689031931			0.024265463
gene-LOC105344182|LOC105344182	-7.019216501			0.000813848
gene-LOC105333351|LOC105333351	-2.170579657			0.026838887
gene-LOC105341503|LOC105341503	3.047764185			3.57e-48
gene-LOC105334568|LOC105334568	3.51955106			2.72e-36
gene-LOC117690525|LOC117690525	3.712832294			3.12e-07
gene-LOC105346420|LOC105346420	-2.485034595			0.037010203
gene-LOC117685485|LOC117685485	3.76563763			8.95e-09
gene-LOC117685030|LOC117685030	2.236587629			5.41e-15
gene-LOC117689803|LOC117689803	-2.06640319			0.030323592
gene-LOC117689337|LOC117689337	5.644223755			0.003008041
gene-LOC117683561|LOC117683561	2.21468766			0.018279486
gene-LOC105324953|LOC105324953	4.659870292			0.001755172
gene-LOC105324963|LOC105324963	7.328333297			2.5e-07
gene-LOC105332710|LOC105332710	-7.271139072			0.015697789
gene-LOC117685758|LOC117685758	-2.026220756			0.022157469
gene-LOC105333215|LOC105333215	2.352479645			1.21e-26
gene-LOC105330356|LOC105330356	5.499654922			2.34e-30
gene-LOC109619581|LOC109619581	-2.461583419			0.047982746
gene-LOC105345325|LOC105345325	2.505744175			1.33e-18
gene-LOC105333973|LOC105333973	4.330559841			2.02e-06
gene-LOC117688864|LOC117688864	-7.530625636			0.045256806
gene-LOC109618110|LOC109618110	-7.412965562			0.02521846
gene-LOC117688285|LOC117688285	-2.943177178			0.000120483
gene-LOC117685444|LOC117685444	-2.829266467			0.028007158
gene-LOC105337074|LOC105337074	4.587129314			1.02e-12
gene-LOC105326859|LOC105326859	-2.274842613			0.043580298
gene-LOC105329592|LOC105329592	-3.609709228			0.03949467
gene-LOC105347705|LOC105347705	-2.209740219			0.008809161
gene-LOC105322953|LOC105322953	2.248995356			2.62e-09
gene-LOC105347674|LOC105347674	-3.746424624			3.25e-06
gene-LOC105339503|LOC105339503	-2.684195794			0.039640807
gene-LOC105324159|LOC105324159	-3.040810297			0.023818473
gene-LOC105346482|LOC105346482	-2.335249965			0.000641462
gene-LOC105332212|LOC105332212	2.331461425			9.86e-08
gene-LOC105338339|LOC105338339	2.878425031			3.26e-20
gene-LOC117685260|LOC117685260	-2.510463575			0.023409777
gene-LOC105319878|LOC105319878	2.20063694			6.64e-06
gene-LOC105319672|LOC105319672	4.359702259			1.83e-15
gene-LOC105322542|LOC105322542	2.860023828			4.35e-13
gene-LOC105339336|LOC105339336	-2.322013409			0.011002903
gene-LOC105329105|LOC105329105	2.423741374			1.65e-08
gene-LOC105330936|LOC105330936	2.151113281			3.85e-10
gene-LOC105322366|LOC105322366	4.590350608			5.17e-18
gene-LOC105320613|LOC105320613	-2.545007682			0.014565441
gene-LOC105327981|LOC105327981	-3.848331026			0.037604119
gene-LOC117685949|LOC117685949	-2.048051976			0.043238397
gene-LOC105343032|LOC105343032	5.086377586			2.67e-35
gene-LOC105325936|LOC105325936	6.743310424			1.38e-39
gene-LOC105343033|LOC105343033	7.027258198			6.46e-27
gene-LOC105328655|LOC105328655	-2.501774673			0.018701336
gene-LOC105326003|LOC105326003	3.251309504			6.75e-06
gene-LOC105339343|LOC105339343	-2.768796708			0.010680413
gene-LOC105349138|LOC105349138	23.00011452			0.001387517
gene-LOC105329031|LOC105329031	2.517509739			4.49e-22
gene-LOC117681109|LOC117681109	2.586680701			8.21e-22
gene-LOC105328920|LOC105328920	-2.490138689			0.004792201
gene-LOC105343632|LOC105343632	5.452216219			9.71e-22
gene-LOC117683148|LOC117683148	9.891464857			6e-14
gene-LOC105320994|LOC105320994	-2.055362274			0.005296916
gene-LOC105346931|LOC105346931	-3.069611815			0.009241095
gene-LOC117688163|LOC117688163	-2.066231281			0.040959355
gene-LOC105338461|LOC105338461	2.068677136			0.022637597
gene-LOC109619445|LOC109619445	-2.519308385			0.004947509
gene-LOC117683780|LOC117683780	6.553771514			1.41e-05
gene-LOC109620006|LOC109620006	6.429574326			0.006956638
gene-LOC105327265|LOC105327265	-2.041771179			0.00911411
gene-LOC105327891|LOC105327891	7.148707468			8.27e-07
Myd88	2.612249976			5.41e-49
gene-LOC105323406|LOC105323406	3.32480122			7.32e-11
gene-LOC105347306|LOC105347306	2.010347806			0.000403626
gene-LOC117689060|LOC117689060	-2.11167706			0.032774391
gene-LOC105326557|LOC105326557	-2.123579228			0.045262958
gene-LOC105327371|LOC105327371	11.32964478			4.13e-17
gene-LOC105327300|LOC105327300	5.951492748			0.000137027
gene-LOC105339031|LOC105339031	-2.392939			0.041687333
gene-LOC105346177|LOC105346177	6.798064978			3.08e-06
gene-LOC105336251|LOC105336251	3.512958746			3.34e-12
gene-LOC105319925|LOC105319925	3.351759526			0.046814272
gene-LOC105317848|LOC105317848	-2.709076421			6.24e-07
gene-LOC105341975|LOC105341975	4.456733922			0.040925953
gene-LOC105326021|LOC105326021	2.842335039			5.66e-08
gene-LOC105339106|LOC105339106	2.398441201			1.85e-05
gene-LOC117690728|LOC117690728	-2.679071765			0.037369909
gene-LOC105326156|LOC105326156	-7.082611886			0.004140091
gene-LOC105334885|LOC105334885	8.344145794			3.4e-09
gene-LOC105327483|LOC105327483	2.576755677			0.004510385
gene-LOC109617937|LOC109617937	-2.39229619			0.030075576
gene-LOC117690696|LOC117690696	-2.36737843			0.0172944
gene-LOC117688657|LOC117688657	-2.239615935			0.011716457
gene-LOC105346338|LOC105346338	-2.264619556			0.017053704
gene-LOC105331999|LOC105331999	-3.257464218			0.008219095
gene-LOC117683447|LOC117683447	4.986737177			0.035040214
gene-LOC105336435|LOC105336435	-2.03331482			0.003737108
gene-LOC109619752|LOC109619752	5.545241267			2.21e-16
gene-LOC105322744|LOC105322744	-2.088462329			0.01001031
gene-LOC117692432|LOC117692432	-2.053130052			0.015997126
gene-LOC117690701|LOC117690701	4.775298051			9.91e-63
gene-LOC105327121|LOC105327121	2.137250041			7.13e-25
gene-LOC109619502|LOC109619502	-2.546400966			0.041658836
gene-LOC105328851|LOC105328851	11.91938087			3.73e-20
gene-LOC105322094|LOC105322094	2.889333295			4.19e-21
gene-LOC105333551|LOC105333551	-6.77991638			0.013326387
gene-LOC105347114|LOC105347114	2.8001393			5.25e-58
gene-LOC105334196|LOC105334196	3.099986577			3.57e-27
gene-LOC105323183|LOC105323183	2.5978757			1.47e-14
gene-LOC105341780|LOC105341780	-6.86722772			2.55e-05
gene-LOC105339452|LOC105339452	2.55050397			1.2e-23
gene-LOC105331041|LOC105331041	3.16123478			0.002172109
gene-LOC117687679|LOC117687679	3.266129458			4.73e-32
gene-LOC105348172|LOC105348172	2.472182022			9.76e-16
gene-LOC105348171|LOC105348171	2.134718075			0.008199683
gene-LOC105323004|LOC105323004	2.385394455			0.016315455
gene-LOC105345669|LOC105345669	-6.804490903			0.00742115
gene-LOC117687876|LOC117687876	2.12868592			4.31e-07
gene-LOC117692100|LOC117692100	2.939548058			3.38e-26
gene-LOC105341989|LOC105341989	-2.873491819			0.043390191
gene-LOC105328606|LOC105328606	2.186626044			8.42e-05
gene-LOC105343473|LOC105343473	5.4410398			0.019782639
gene-LOC105318670|LOC105318670	-3.098344026			9.28e-07
gene-LOC105325439|LOC105325439	-3.305296803			0.003176013
gene-LOC117680954|LOC117680954	2.287550236			6.74e-09
gene-LOC105317292|LOC105317292	-2.969835427			0.043609552
gene-LOC105330357|LOC105330357	2.344479976			4.54e-05
gene-LOC105340693|LOC105340693	2.028729825			0.000254073
gene-LOC105325699|LOC105325699	-7.307276873			0.000381552
gene-LOC105332146|LOC105332146	2.794921141			1.88e-05
gene-LOC105330242|LOC105330242	5.91008766			0.006233305
gene-LOC105328837|LOC105328837	3.0897344			1.29e-09
gene-LOC105317952|LOC105317952	-2.863103964			0.000853984
gene-LOC105338052|LOC105338052	-2.068428663			0.019757531
gene-LOC105347180|LOC105347180	-7.382752075			0.005395624
gene-LOC105335920|LOC105335920	-3.593608618			0.01452021
gene-LOC105335620|LOC105335620	2.205091814			8.48e-06
gene-LOC105335342|LOC105335342	2.019625204			7.38e-37
gene-LOC105334015|LOC105334015	6.532996863			1.25e-32
gene-LOC105338004|LOC105338004	-2.05008866			0.036391854
gene-LOC105318991|LOC105318991	3.248705472			2.22e-86
gene-LOC117689189|LOC117689189	3.657523401			1.53e-51
gene-LOC117680562|LOC117680562	5.497488951			0.0307043
gene-LOC105338421|LOC105338421	3.193473421			1.86e-25
gene-LOC105324357|LOC105324357	-2.09428477			0.021845879
gene-LOC117688596|LOC117688596	-2.231830723			0.021796103
gene-LOC105331780|LOC105331780	6.967956005			1.57e-05
gene-LOC117681081|LOC117681081	-2.921477413			0.007018366
gene-LOC105347481|LOC105347481	3.301172154			0.00196856
gene-LOC117688426|LOC117688426	-2.961823752			0.024948807
gene-LOC109618864|LOC109618864	-3.267175508			0.01819857
gene-LOC105348511|LOC105348511	3.00883121			2.41e-26
gene-LOC105326390|LOC105326390	-6.524845348			0.006338185
gene-LOC105320168|LOC105320168	-4.134004782			0.001599538
gene-LOC105328586|LOC105328586	2.754268175			1.93e-08
gene-LOC105332338|LOC105332338	5.775238074			0.001529453
gene-LOC105343786|LOC105343786	-2.341926355			0.01186025
gene-LOC117692171|LOC117692171	2.825211741			0.037723514
gene-LOC117690065|LOC117690065	2.294262105			5.08e-08
gene-LOC105318026|LOC105318026	4.452213233			1.68e-16
gene-LOC105340830|LOC105340830	-6.642041325			0.006084088
gene-LOC105331209|LOC105331209	-3.01276704			0.001809541
gene-LOC105331186|LOC105331186	-2.164088665			0.036712548
gene-LOC105324638|LOC105324638	-6.975201769			0.044810835
gene-LOC105329816|LOC105329816	2.71844469			5e-25
